Date,AAPL,GOOG,MSFT,NVDA,TSLA
2022-01-03,178.64566040039062,144.2172393798828,325.0380554199219,30.06613540649414,399.9266662597656
2022-01-04,176.37835693359375,143.5631561279297,319.464599609375,29.236650466918945,383.1966552734375
2022-01-05,171.68670654296875,136.84011840820312,307.2010803222656,27.5537166595459,362.7066650390625
2022-01-06,168.82069396972656,136.7382049560547,304.7735595703125,28.126670837402344,354.8999938964844
2022-01-07,168.9875030517578,136.19493103027344,304.9289245605469,27.197370529174805,342.32000732421875
2022-01-10,169.00718688964844,137.75515747070312,305.1522216796875,27.3500919342041,352.7066650390625
2022-01-11,171.84373474121094,139.19012451171875,305.8416442871094,27.76633071899414,354.79998779296875
2022-01-12,172.2854461669922,140.8109893798828,309.03619384765625,27.947998046875,368.739990234375
2022-01-13,169.00718688964844,138.30886840820312,295.95697021484375,26.526592254638672,343.85333251953125
2022-01-14,169.87088012695312,138.96047973632812,301.20037841796875,26.89292335510254,349.8699951171875
2022-01-18,166.6613311767578,135.48516845703125,293.8692626953125,25.85581398010254,343.5033264160156
2022-01-19,163.1573486328125,134.8504180908203,294.5296325683594,25.021343231201172,331.8833312988281
2022-01-20,161.4691162109375,132.7176055908203,292.849853515625,24.10601043701172,332.0899963378906
2022-01-21,159.40794372558594,129.3232879638672,287.44140625,23.331424713134766,314.6333312988281
2022-01-24,158.6325225830078,129.6016387939453,287.7715759277344,23.32942771911621,310.0
2022-01-25,156.82656860351562,125.98661804199219,280.1202087402344,22.283334732055664,306.1333312988281
2022-01-26,156.7382354736328,128.476318359375,288.1016845703125,22.730520248413086,312.4700012207031
2022-01-27,156.2769012451172,128.35801696777344,291.1408996582031,21.904029846191406,276.3666687011719
2022-01-28,167.1815643310547,132.50189208984375,299.3166198730469,22.798397064208984,282.1166687011719
2022-01-31,171.54930114746094,134.8966827392578,301.9576721191406,24.44139862060547,312.239990234375
2022-02-01,171.38243103027344,137.0637664794922,299.8020935058594,24.593120574951172,310.4166564941406
2022-02-02,172.58969116210938,147.1617431640625,304.3657531738281,25.196020126342773,301.88665771484375
2022-02-03,169.7040557861328,141.8075714111328,292.5099792480469,23.904376983642578,297.0466613769531
2022-02-04,169.41905212402344,142.17092895507812,297.0638732910156,24.274700164794922,307.7733459472656
2022-02-07,168.7016143798828,138.1170196533203,292.2186584472656,24.68295669555664,302.4466552734375
2022-02-08,171.8170166015625,138.390380859375,295.72393798828125,25.062265396118164,307.3333435058594
2022-02-09,173.24200439453125,140.61717224121094,302.1809387207031,26.65635871887207,310.6666564941406
2022-02-10,169.1537322998047,137.7834930419922,293.607177734375,25.776962280273438,301.51666259765625
2022-02-11,165.73367309570312,133.33741760253906,286.48016357421875,23.90537452697754,286.6666564941406
2022-02-14,165.96954345703125,134.50050354003906,286.4413146972656,24.222797393798828,291.9200134277344
2022-02-15,169.81214904785156,135.619384765625,291.7525939941406,26.446739196777344,307.4766540527344
2022-02-16,169.5762939453125,136.67510986328125,291.4120788574219,26.462709426879883,307.7966613769531
2022-02-17,165.96954345703125,131.5266876220703,282.87890625,24.462360382080078,292.1166687011719
2022-02-18,164.41677856445312,129.69654846191406,280.1545104980469,23.59893226623535,285.6600036621094
2022-02-22,161.48812866210938,128.63784790039062,279.9501647949219,23.347396850585938,273.84332275390625
2022-02-23,157.3114013671875,126.83110046386719,272.70135498046875,22.34621810913086,254.67999267578125
2022-02-24,159.9353485107422,131.8895263671875,286.6346740722656,23.704744338989258,266.92333984375
2022-02-25,162.0089874267578,133.724609375,289.28125,24.11299705505371,269.9566650390625
2022-02-28,162.27435302734375,134.09393310546875,290.7212829589844,24.340578079223633,290.1433410644531
2022-03-01,160.38743591308594,133.37518310546875,286.9848937988281,23.434236526489258,288.1233215332031
2022-03-02,163.6894989013672,133.9552459716797,292.0834045410156,24.18000030517578,293.2966613769531
2022-03-03,163.36520385742188,133.51438903808594,287.92877197265625,23.674842834472656,279.7633361816406
2022-03-04,160.3579559326172,131.34129333496094,282.0323486328125,22.89812469482422,279.42999267578125
2022-03-07,156.55467224121094,125.71721649169922,271.3780517578125,21.316736221313477,268.1933288574219
2022-03-08,154.72669982910156,126.52640533447266,268.4006652832031,21.478469848632812,274.79998779296875
2022-03-09,160.1417236328125,133.07498168945312,280.7091369628906,22.975990295410156,286.3233337402344
2022-03-10,155.78810119628906,131.8979949951172,277.8776550292969,22.62058448791504,279.4333190917969
2022-03-11,152.0634002685547,129.7045135498047,272.5067443847656,22.06350326538086,265.1166687011719
2022-03-14,148.0242462158203,125.99208068847656,268.97479248046875,21.294775009155273,255.4566650390625
2022-03-15,152.41717529296875,128.8943328857422,279.39556884765625,22.935062408447266,267.2966613769531
2022-03-16,156.83966064453125,132.90052795410156,286.44012451171875,24.455543518066406,280.07666015625
2022-03-17,157.8518829345703,133.8051300048828,287.2476501464844,24.72510528564453,290.5333251953125
2022-03-18,161.15396118164062,135.99314880371094,292.3169250488281,26.409313201904297,301.7966613769531
2022-03-21,162.52987670898438,135.6720733642578,291.0812072753906,26.689849853515625,307.0533447265625
